Nome Completo;Email;Mês/Ano;Cargo;CBO;PIS;Salário Base;Comissão;Valores Adicionais;Bonificações;Total Vencimentos;INSS (%);INSS (R$);IRRF (%);IRRF (R$);Plano de Saúde;Total Descontos;Líquido a Receber;Carga Horária;Horas Extras;Base FGTS;FGTS do Mês;Base INSS;Base IRRF
Ana Silva;ana.silva@email.com;Jan-2021;Analista de Sistemas;2124-05;26292511552;2508;925;274;927;4634;9.15;424.01099999999997;7.5;347.55;450;1221.561;3412.4390000000003;44;16;4634;370.72;4634;3938.9
Ana Silva;ana.silva@email.com;Feb-2021;Analista de Sistemas;2124-05;67257164712;5289;510;616;656;7071;9.15;646.9965;7.5;530.3249999999999;445;1622.3215;5448.6785;44;5;7071;565.6800000000001;7071;6010.349999999999
Ana Silva;ana.silva@email.com;Mar-2021;Analista de Sistemas;2124-05;56262851243;6667;304;495;161;7627;9.15;697.8705;7.5;572.025;294;1563.8955;6063.1044999999995;44;0;7627;610.16;7627;6482.95
Ana Silva;ana.silva@email.com;Apr-2021;Analista de Sistemas;2124-05;91819773131;3788;638;294;351;5071;9.15;463.99649999999997;7.5;380.325;310;1154.3215;3916.6785;44;19;5071;405.68;5071;4310.349999999999
Ana Silva;ana.silva@email.com;May-2021;Analista de Sistemas;2124-05;72638581954;5633;972;444;626;7675;9.15;702.2624999999999;7.5;575.625;470;1747.8874999999998;5927.1125;44;4;7675;614.0;7675;6523.75
Ana Silva;ana.silva@email.com;Jun-2021;Analista de Sistemas;2124-05;49677621693;5275;844;652;417;7188;9.15;657.702;7.5;539.1;112;1308.8020000000001;5879.198;44;6;7188;575.04;7188;6109.8
Ana Silva;ana.silva@email.com;Jul-2021;Analista de Sistemas;2124-05;88894765303;4955;783;428;115;6281;9.15;574.7115;7.5;471.075;257;1302.7865;4978.2135;44;12;6281;502.48;6281;5338.849999999999
Ana Silva;ana.silva@email.com;Aug-2021;Analista de Sistemas;2124-05;93469271901;5552;495;469;756;7272;9.15;665.388;7.5;545.4;449;1659.788;5612.2119999999995;44;12;7272;581.76;7272;6181.2
Ana Silva;ana.silva@email.com;Sep-2021;Analista de Sistemas;2124-05;26980455437;3148;651;559;692;5050;9.15;462.075;7.5;378.75;265;1105.825;3944.175;44;4;5050;404.0;5050;4292.5
Ana Silva;ana.silva@email.com;Oct-2021;Analista de Sistemas;2124-05;88820454958;3934;993;659;14;5600;9.15;512.4;7.5;420.0;482;1414.4;4185.6;44;10;5600;448.0;5600;4760.0
Ana Silva;ana.silva@email.com;Nov-2021;Analista de Sistemas;2124-05;87979031808;5787;375;559;807;7528;9.15;688.812;7.5;564.6;460;1713.412;5814.588;44;10;7528;602.24;7528;6398.8
Ana Silva;ana.silva@email.com;Dec-2021;Analista de Sistemas;2124-05;87554301324;5217;583;155;948;6903;9.15;631.6245;7.5;517.725;119;1268.3495;5634.6505;44;9;6903;552.24;6903;5867.55
Ana Silva;ana.silva@email.com;Jan-2022;Analista de Sistemas;2124-05;68971641513;6566;277;154;338;7335;9.15;671.1525;7.5;550.125;107;1328.2775000000001;6006.7225;44;11;7335;586.8000000000001;7335;6234.75
Ana Silva;ana.silva@email.com;Feb-2022;Analista de Sistemas;2124-05;23416014364;2674;283;588;909;4454;9.15;407.541;7.5;334.05;428;1169.591;3284.409;44;12;4454;356.32;4454;3785.9
Ana Silva;ana.silva@email.com;Mar-2022;Analista de Sistemas;2124-05;56071601212;4832;780;192;938;6742;9.15;616.893;7.5;505.65;448;1570.5430000000001;5171.457;44;11;6742;539.36;6742;5730.7
Ana Silva;ana.silva@email.com;Apr-2022;Analista de Sistemas;2124-05;29579587142;2951;794;403;30;4178;9.15;382.287;7.5;313.34999999999997;100;795.637;3382.3630000000003;44;13;4178;334.24;4178;3551.2999999999997
Ana Silva;ana.silva@email.com;May-2022;Analista de Sistemas;2124-05;95733690312;3635;289;372;661;4957;9.15;453.5655;7.5;371.775;248;1073.3405;3883.6594999999998;44;1;4957;396.56;4957;4213.45
Ana Silva;ana.silva@email.com;Jun-2022;Analista de Sistemas;2124-05;84812078456;3667;217;377;294;4555;9.15;416.78249999999997;7.5;341.625;273;1031.4075;3523.5924999999997;44;18;4555;364.40000000000003;4555;3871.75
Ana Silva;ana.silva@email.com;Jul-2022;Analista de Sistemas;2124-05;34072862313;4149;555;634;301;5639;9.15;515.9685;7.5;422.925;463;1401.8935;4237.1065;44;15;5639;451.12;5639;4793.15
Ana Silva;ana.silva@email.com;Aug-2022;Analista de Sistemas;2124-05;50217354440;6019;761;429;668;7877;9.15;720.7455;7.5;590.775;427;1738.5205;6138.4794999999995;44;7;7877;630.16;7877;6695.45
Ana Silva;ana.silva@email.com;Sep-2022;Analista de Sistemas;2124-05;12986430731;4410;394;400;883;6087;9.15;556.9605;7.5;456.525;346;1359.4855;4727.5145;44;11;6087;486.96000000000004;6087;5173.95
Ana Silva;ana.silva@email.com;Oct-2022;Analista de Sistemas;2124-05;99715333560;4738;346;752;875;6711;9.15;614.0565;7.5;503.325;120;1237.3815;5473.6185000000005;44;5;6711;536.88;6711;5704.349999999999
Ana Silva;ana.silva@email.com;Nov-2022;Analista de Sistemas;2124-05;71954794567;4298;729;664;398;6089;9.15;557.1435;7.5;456.675;106;1119.8185;4969.1815;44;8;6089;487.12;6089;5175.65
Ana Silva;ana.silva@email.com;Dec-2022;Analista de Sistemas;2124-05;85762931266;4413;628;157;459;5657;9.15;517.6155;7.5;424.275;149;1090.8905;4566.1095000000005;44;12;5657;452.56;5657;4808.45
Ana Silva;ana.silva@email.com;Jan-2023;Analista de Sistemas;2124-05;89491826611;5031;432;195;333;5991;9.15;548.1765;7.5;449.325;426;1423.5015;4567.4985;44;7;5991;479.28000000000003;5991;5092.349999999999
Ana Silva;ana.silva@email.com;Feb-2023;Analista de Sistemas;2124-05;65499194635;2797;921;629;31;4378;9.15;400.587;7.5;328.34999999999997;406;1134.937;3243.063;44;13;4378;350.24;4378;3721.2999999999997
Ana Silva;ana.silva@email.com;Mar-2023;Analista de Sistemas;2124-05;45381841396;5342;942;320;185;6789;9.15;621.1935;7.5;509.17499999999995;493;1623.3685;5165.6314999999995;44;3;6789;543.12;6789;5770.65
Ana Silva;ana.silva@email.com;Apr-2023;Analista de Sistemas;2124-05;23121963468;6006;737;351;11;7105;9.15;650.1075;7.5;532.875;462;1644.9825;5460.0175;44;5;7105;568.4;7105;6039.25
Ana Silva;ana.silva@email.com;May-2023;Analista de Sistemas;2124-05;86101491037;6191;843;376;893;8303;9.15;759.7245;7.5;622.725;496;1878.4495000000002;6424.550499999999;44;19;8303;664.24;8303;7057.55
Ana Silva;ana.silva@email.com;Jun-2023;Analista de Sistemas;2124-05;44152595149;4352;953;512;144;5961;9.15;545.4315;7.5;447.075;281;1273.5065;4687.4935000000005;44;1;5961;476.88;5961;5066.849999999999
Ana Silva;ana.silva@email.com;Jul-2023;Analista de Sistemas;2124-05;49649710589;3760;469;203;973;5405;9.15;494.5575;7.5;405.375;161;1060.9325;4344.0675;44;5;5405;432.40000000000003;5405;4594.25
Ana Silva;ana.silva@email.com;Aug-2023;Analista de Sistemas;2124-05;97074402228;6122;781;231;815;7949;9.15;727.3335;7.5;596.175;373;1696.5085;6252.4915;44;3;7949;635.92;7949;6756.65
Ana Silva;ana.silva@email.com;Sep-2023;Analista de Sistemas;2124-05;11361229582;4726;207;649;261;5843;9.15;534.6345;7.5;438.22499999999997;403;1375.8595;4467.1404999999995;44;4;5843;467.44;5843;4966.55
Ana Silva;ana.silva@email.com;Oct-2023;Analista de Sistemas;2124-05;65840066695;4729;297;767;361;6154;9.15;563.091;7.5;461.54999999999995;477;1501.641;4652.359;44;19;6154;492.32;6154;5230.9
Ana Silva;ana.silva@email.com;Nov-2023;Analista de Sistemas;2124-05;12668111010;4593;375;504;470;5942;9.15;543.693;7.5;445.65;379;1368.3429999999998;4573.657;44;0;5942;475.36;5942;5050.7
Ana Silva;ana.silva@email.com;Dec-2023;Analista de Sistemas;2124-05;57915776887;6872;681;704;54;8311;9.15;760.4565;7.5;623.3249999999999;377;1760.7815;6550.2185;44;6;8311;664.88;8311;7064.349999999999
Bruno Costa;bruno.costa@email.com;Jan-2020;Engenheiro de Software;2124-10;29003279937;5701;996;342;186;7225;9.15;661.0875;7.5;541.875;461;1663.9625;5561.0375;44;14;7225;578.0;7225;6141.25
Bruno Costa;bruno.costa@email.com;Feb-2020;Engenheiro de Software;2124-10;83913738743;4361;521;499;891;6272;9.15;573.888;7.5;470.4;483;1527.288;4744.7119999999995;44;6;6272;501.76;6272;5331.2
Bruno Costa;bruno.costa@email.com;Mar-2020;Engenheiro de Software;2124-10;64899154791;4705;366;346;573;5990;9.15;548.085;7.5;449.25;283;1280.335;4709.665;44;13;5990;479.2;5990;5091.5
Bruno Costa;bruno.costa@email.com;Apr-2020;Engenheiro de Software;2124-10;57685873390;3010;470;729;664;4873;9.15;445.8795;7.5;365.47499999999997;214;1025.3545;3847.6455;44;14;4873;389.84000000000003;4873;4142.05
Bruno Costa;bruno.costa@email.com;May-2020;Engenheiro de Software;2124-10;28433538315;3726;217;346;417;4706;9.15;430.599;7.5;352.95;264;1047.549;3658.451;44;14;4706;376.48;4706;4000.1
Bruno Costa;bruno.costa@email.com;Jun-2020;Engenheiro de Software;2124-10;47814944653;5184;761;704;105;6754;9.15;617.991;7.5;506.54999999999995;128;1252.541;5501.459;44;10;6754;540.32;6754;5740.9
Bruno Costa;bruno.costa@email.com;Jul-2020;Engenheiro de Software;2124-10;58817417403;4855;307;282;250;5694;9.15;521.001;7.5;427.05;285;1233.051;4460.9490000000005;44;18;5694;455.52;5694;4839.9
Bruno Costa;bruno.costa@email.com;Aug-2020;Engenheiro de Software;2124-10;27658026377;6277;844;184;85;7390;9.15;676.185;7.5;554.25;343;1573.435;5816.5650000000005;44;13;7390;591.2;7390;6281.5
Bruno Costa;bruno.costa@email.com;Sep-2020;Engenheiro de Software;2124-10;87895109767;4697;997;366;755;6815;9.15;623.5725;7.5;511.125;130;1264.6975;5550.3025;44;18;6815;545.2;6815;5792.75
Bruno Costa;bruno.costa@email.com;Oct-2020;Engenheiro de Software;2124-10;41701312138;4976;386;533;425;6320;9.15;578.28;7.5;474.0;235;1287.28;5032.72;44;5;6320;505.6;6320;5372.0
Bruno Costa;bruno.costa@email.com;Nov-2020;Engenheiro de Software;2124-10;72266020294;4614;303;422;640;5979;9.15;547.0785;7.5;448.425;140;1135.5035;4843.4965;44;11;5979;478.32;5979;5082.15
Bruno Costa;bruno.costa@email.com;Dec-2020;Engenheiro de Software;2124-10;48835019679;2676;626;586;776;4664;9.15;426.756;7.5;349.8;122;898.556;3765.444;44;7;4664;373.12;4664;3964.4
Bruno Costa;bruno.costa@email.com;Jan-2021;Engenheiro de Software;2124-10;95360964572;5203;680;657;134;6674;9.15;610.6709999999999;7.5;500.54999999999995;487;1598.221;5075.779;44;19;6674;533.92;6674;5672.9
Bruno Costa;bruno.costa@email.com;Feb-2021;Engenheiro de Software;2124-10;58344360094;4318;855;391;533;6097;9.15;557.8755;7.5;457.275;244;1259.1505;4837.8495;44;15;6097;487.76;6097;5182.45
Bruno Costa;bruno.costa@email.com;Mar-2021;Engenheiro de Software;2124-10;91712104400;4400;972;575;290;6237;9.15;570.6854999999999;7.5;467.775;472;1510.4605;4726.5395;44;3;6237;498.96000000000004;6237;5301.45
Bruno Costa;bruno.costa@email.com;Apr-2021;Engenheiro de Software;2124-10;62513317181;3909;319;296;494;5018;9.15;459.147;7.5;376.34999999999997;115;950.497;4067.503;44;14;5018;401.44;5018;4265.3
Bruno Costa;bruno.costa@email.com;May-2021;Engenheiro de Software;2124-10;78539750701;6947;618;111;762;8438;9.15;772.077;7.5;632.85;188;1592.9270000000001;6845.073;44;2;8438;675.04;8438;7172.3
Bruno Costa;bruno.costa@email.com;Jun-2021;Engenheiro de Software;2124-10;24231667656;3238;725;334;993;5290;9.15;484.03499999999997;7.5;396.75;191;1071.7849999999999;4218.215;44;5;5290;423.2;5290;4496.5
Bruno Costa;bruno.costa@email.com;Jul-2021;Engenheiro de Software;2124-10;34685510165;5822;466;427;948;7663;9.15;701.1645;7.5;574.725;409;1684.8895;5978.1105;44;7;7663;613.04;7663;6513.55
Bruno Costa;bruno.costa@email.com;Aug-2021;Engenheiro de Software;2124-10;83619884479;5552;357;412;207;6528;9.15;597.312;7.5;489.59999999999997;418;1504.912;5023.088;44;12;6528;522.24;6528;5548.8
Bruno Costa;bruno.costa@email.com;Sep-2021;Engenheiro de Software;2124-10;22882516490;5723;790;348;677;7538;9.15;689.727;7.5;565.35;379;1634.077;5903.923;44;15;7538;603.04;7538;6407.3
Bruno Costa;bruno.costa@email.com;Oct-2021;Engenheiro de Software;2124-10;74422376762;5138;605;385;30;6158;9.15;563.457;7.5;461.84999999999997;215;1240.307;4917.693;44;12;6158;492.64;6158;5234.3
Bruno Costa;bruno.costa@email.com;Nov-2021;Engenheiro de Software;2124-10;38071238958;5432;948;232;87;6699;9.15;612.9585;7.5;502.42499999999995;220;1335.3835;5363.6165;44;10;6699;535.92;6699;5694.15
Bruno Costa;bruno.costa@email.com;Dec-2021;Engenheiro de Software;2124-10;54578772116;3080;906;722;359;5067;9.15;463.6305;7.5;380.025;377;1220.6554999999998;3846.3445;44;6;5067;405.36;5067;4306.95
Bruno Costa;bruno.costa@email.com;Jan-2022;Engenheiro de Software;2124-10;22774914071;3328;392;378;5;4103;9.15;375.42449999999997;7.5;307.72499999999997;316;999.1495;3103.8505;44;17;4103;328.24;4103;3487.5499999999997
Bruno Costa;bruno.costa@email.com;Feb-2022;Engenheiro de Software;2124-10;73390642063;4428;361;363;76;5228;9.15;478.36199999999997;7.5;392.09999999999997;268;1138.462;4089.538;44;16;5228;418.24;5228;4443.8
Bruno Costa;bruno.costa@email.com;Mar-2022;Engenheiro de Software;2124-10;53587967152;2645;651;478;417;4191;9.15;383.4765;7.5;314.325;239;936.8015;3254.1985;44;11;4191;335.28000000000003;4191;3562.35
Bruno Costa;bruno.costa@email.com;Apr-2022;Engenheiro de Software;2124-10;16381489145;6875;791;183;77;7926;9.15;725.2289999999999;7.5;594.4499999999999;337;1656.6789999999999;6269.321;44;13;7926;634.08;7926;6737.099999999999
Bruno Costa;bruno.costa@email.com;May-2022;Engenheiro de Software;2124-10;92709596080;6893;886;743;328;8850;9.15;809.775;7.5;663.75;115;1588.525;7261.475;44;2;8850;708.0;8850;7522.5
Bruno Costa;bruno.costa@email.com;Jun-2022;Engenheiro de Software;2124-10;88594086821;4074;782;255;403;5514;9.15;504.531;7.5;413.55;481;1399.0810000000001;4114.919;44;5;5514;441.12;5514;4686.9
Bruno Costa;bruno.costa@email.com;Jul-2022;Engenheiro de Software;2124-10;57479146622;5875;818;579;388;7660;9.15;700.89;7.5;574.5;244;1519.3899999999999;6140.610000000001;44;11;7660;612.8000000000001;7660;6511.0
Bruno Costa;bruno.costa@email.com;Aug-2022;Engenheiro de Software;2124-10;76705445685;4561;281;794;470;6106;9.15;558.699;7.5;457.95;373;1389.649;4716.351000000001;44;5;6106;488.48;6106;5190.099999999999
Bruno Costa;bruno.costa@email.com;Sep-2022;Engenheiro de Software;2124-10;75185586349;3387;602;637;218;4844;9.15;443.226;7.5;363.3;154;960.5260000000001;3883.474;44;14;4844;387.52;4844;4117.4
Bruno Costa;bruno.costa@email.com;Oct-2022;Engenheiro de Software;2124-10;22500962323;4839;213;694;349;6095;9.15;557.6925;7.5;457.125;152;1166.8175;4928.1825;44;13;6095;487.6;6095;5180.75
Bruno Costa;bruno.costa@email.com;Nov-2022;Engenheiro de Software;2124-10;44827772022;4996;963;424;391;6774;9.15;619.821;7.5;508.04999999999995;329;1456.871;5317.129;44;1;6774;541.92;6774;5757.9
Bruno Costa;bruno.costa@email.com;Dec-2022;Engenheiro de Software;2124-10;65309566392;2993;703;479;723;4898;9.15;448.167;7.5;367.34999999999997;352;1167.5169999999998;3730.483;44;12;4898;391.84000000000003;4898;4163.3
Bruno Costa;bruno.costa@email.com;Jan-2023;Engenheiro de Software;2124-10;35871045749;4258;764;591;471;6084;9.15;556.686;7.5;456.3;381;1393.986;4690.014;44;11;6084;486.72;6084;5171.4
Bruno Costa;bruno.costa@email.com;Feb-2023;Engenheiro de Software;2124-10;19421528731;3954;693;207;913;5767;9.15;527.6804999999999;7.5;432.525;281;1241.2055;4525.7945;44;0;5767;461.36;5767;4901.95
Bruno Costa;bruno.costa@email.com;Mar-2023;Engenheiro de Software;2124-10;62290901594;2563;559;269;291;3682;9.15;336.903;7.5;276.15;288;901.053;2780.947;44;3;3682;294.56;3682;3129.7
Bruno Costa;bruno.costa@email.com;Apr-2023;Engenheiro de Software;2124-10;42755621973;5368;430;673;681;7152;9.15;654.408;7.5;536.4;474;1664.808;5487.192;44;15;7152;572.16;7152;6079.2
Bruno Costa;bruno.costa@email.com;May-2023;Engenheiro de Software;2124-10;84299871630;4853;474;524;14;5865;9.15;536.6475;7.5;439.875;395;1371.5225;4493.4775;44;6;5865;469.2;5865;4985.25
Bruno Costa;bruno.costa@email.com;Jun-2023;Engenheiro de Software;2124-10;81929833181;4255;230;636;966;6087;9.15;556.9605;7.5;456.525;136;1149.4855;4937.5145;44;14;6087;486.96000000000004;6087;5173.95
Bruno Costa;bruno.costa@email.com;Jul-2023;Engenheiro de Software;2124-10;71858476072;4232;410;476;380;5498;9.15;503.067;7.5;412.34999999999997;376;1291.417;4206.5830000000005;44;14;5498;439.84000000000003;5498;4673.3
Bruno Costa;bruno.costa@email.com;Aug-2023;Engenheiro de Software;2124-10;11039947978;4174;274;604;102;5154;9.15;471.591;7.5;386.55;450;1308.141;3845.859;44;17;5154;412.32;5154;4380.9
Bruno Costa;bruno.costa@email.com;Sep-2023;Engenheiro de Software;2124-10;97063952499;5485;606;330;327;6748;9.15;617.442;7.5;506.09999999999997;170;1293.542;5454.4580000000005;44;14;6748;539.84;6748;5735.8
Bruno Costa;bruno.costa@email.com;Oct-2023;Engenheiro de Software;2124-10;93388540696;2956;944;444;0;4344;9.15;397.476;7.5;325.8;209;932.2760000000001;3411.724;44;16;4344;347.52;4344;3692.4
Bruno Costa;bruno.costa@email.com;Nov-2023;Engenheiro de Software;2124-10;56795204811;2862;490;226;385;3963;9.15;362.61449999999996;7.5;297.22499999999997;351;1010.8394999999999;2952.1605;44;14;3963;317.04;3963;3368.5499999999997
Bruno Costa;bruno.costa@email.com;Dec-2023;Engenheiro de Software;2124-10;37843342876;4308;437;573;282;5600;9.15;512.4;7.5;420.0;185;1117.4;4482.6;44;2;5600;448.0;5600;4760.0
Carlos Mendes;carlos.mendes@email.com;Jan-2020;Administrador;2521-25;13632200822;2959;506;754;501;4720;9.15;431.88;7.5;354.0;348;1133.88;3586.12;44;6;4720;377.6;4720;4012.0
Carlos Mendes;carlos.mendes@email.com;Feb-2020;Administrador;2521-25;40531143954;5073;573;251;118;6015;9.15;550.3725;7.5;451.125;305;1306.4975;4708.5025000000005;44;5;6015;481.2;6015;5112.75
Carlos Mendes;carlos.mendes@email.com;Mar-2020;Administrador;2521-25;31849658913;4233;982;580;849;6644;9.15;607.9259999999999;7.5;498.29999999999995;496;1602.2259999999999;5041.774;44;18;6644;531.52;6644;5647.4
Carlos Mendes;carlos.mendes@email.com;Apr-2020;Administrador;2521-25;17196308200;2951;714;313;133;4111;9.15;376.1565;7.5;308.325;382;1066.4814999999999;3044.5185;44;8;4111;328.88;4111;3494.35
Carlos Mendes;carlos.mendes@email.com;May-2020;Administrador;2521-25;45894750967;3396;911;178;354;4839;9.15;442.7685;7.5;362.925;321;1126.6935;3712.3064999999997;44;14;4839;387.12;4839;4113.15
Carlos Mendes;carlos.mendes@email.com;Jun-2020;Administrador;2521-25;44562187884;6092;727;698;543;8060;9.15;737.49;7.5;604.5;224;1565.99;6494.01;44;2;8060;644.8000000000001;8060;6851.0
Carlos Mendes;carlos.mendes@email.com;Jul-2020;Administrador;2521-25;42884298190;6264;952;219;40;7475;9.15;683.9625;7.5;560.625;178;1422.5875;6052.4125;44;14;7475;598.0;7475;6353.75
Carlos Mendes;carlos.mendes@email.com;Aug-2020;Administrador;2521-25;35090216780;2688;354;256;712;4010;9.15;366.91499999999996;7.5;300.75;338;1005.665;3004.335;44;6;4010;320.8;4010;3408.5
Carlos Mendes;carlos.mendes@email.com;Sep-2020;Administrador;2521-25;41933335125;2509;769;294;338;3910;9.15;357.765;7.5;293.25;485;1136.0149999999999;2773.985;44;14;3910;312.8;3910;3323.5
Carlos Mendes;carlos.mendes@email.com;Oct-2020;Administrador;2521-25;15735596260;6254;372;722;518;7866;9.15;719.739;7.5;589.9499999999999;381;1690.6889999999999;6175.311;44;13;7866;629.28;7866;6686.099999999999
Carlos Mendes;carlos.mendes@email.com;Nov-2020;Administrador;2521-25;25121243474;6614;880;320;889;8703;9.15;796.3245;7.5;652.725;279;1728.0495;6974.9505;44;19;8703;696.24;8703;7397.55
Carlos Mendes;carlos.mendes@email.com;Dec-2020;Administrador;2521-25;68204652439;6437;997;641;164;8239;9.15;753.8685;7.5;617.925;468;1839.7935;6399.2065;44;10;8239;659.12;8239;7003.15
Carlos Mendes;carlos.mendes@email.com;Jan-2021;Administrador;2521-25;10945213424;5358;544;331;343;6576;9.15;601.704;7.5;493.2;301;1395.904;5180.096;44;3;6576;526.08;6576;5589.599999999999
Carlos Mendes;carlos.mendes@email.com;Feb-2021;Administrador;2521-25;25581992111;3743;648;548;231;5170;9.15;473.055;7.5;387.75;180;1040.805;4129.195;44;5;5170;413.6;5170;4394.5
Carlos Mendes;carlos.mendes@email.com;Mar-2021;Administrador;2521-25;90394082929;4685;826;322;660;6493;9.15;594.1095;7.5;486.97499999999997;318;1399.0845;5093.9155;44;5;6493;519.44;6493;5519.05
Carlos Mendes;carlos.mendes@email.com;Apr-2021;Administrador;2521-25;80898699807;5601;614;618;522;7355;9.15;672.9825;7.5;551.625;295;1519.6075;5835.3925;44;11;7355;588.4;7355;6251.75
Carlos Mendes;carlos.mendes@email.com;May-2021;Administrador;2521-25;45274368592;6549;886;572;262;8269;9.15;756.6134999999999;7.5;620.175;187;1563.7884999999999;6705.2115;44;8;8269;661.52;8269;7028.65
Carlos Mendes;carlos.mendes@email.com;Jun-2021;Administrador;2521-25;72104258246;6420;638;107;310;7475;9.15;683.9625;7.5;560.625;172;1416.5875;6058.4125;44;6;7475;598.0;7475;6353.75
Carlos Mendes;carlos.mendes@email.com;Jul-2021;Administrador;2521-25;85326329950;4211;444;176;623;5454;9.15;499.041;7.5;409.05;336;1244.091;4209.909;44;9;5454;436.32;5454;4635.9
Carlos Mendes;carlos.mendes@email.com;Aug-2021;Administrador;2521-25;27923794614;6797;449;576;694;8516;9.15;779.2139999999999;7.5;638.6999999999999;260;1677.9139999999998;6838.086;44;15;8516;681.28;8516;7238.599999999999
Carlos Mendes;carlos.mendes@email.com;Sep-2021;Administrador;2521-25;72437351507;4879;879;351;388;6497;9.15;594.4755;7.5;487.275;406;1487.7505;5009.2495;44;19;6497;519.76;6497;5522.45
Carlos Mendes;carlos.mendes@email.com;Oct-2021;Administrador;2521-25;52146223645;5332;360;502;905;7099;9.15;649.5585;7.5;532.425;288;1469.9834999999998;5629.0165;44;1;7099;567.92;7099;6034.15
Carlos Mendes;carlos.mendes@email.com;Nov-2021;Administrador;2521-25;15470425395;3794;437;399;106;4736;9.15;433.344;7.5;355.2;295;1083.5439999999999;3652.456;44;16;4736;378.88;4736;4025.6
Carlos Mendes;carlos.mendes@email.com;Dec-2021;Administrador;2521-25;52921293632;5286;933;721;241;7181;9.15;657.0615;7.5;538.5749999999999;314;1509.6365;5671.3634999999995;44;19;7181;574.48;7181;6103.849999999999
Carlos Mendes;carlos.mendes@email.com;Jan-2022;Administrador;2521-25;84247925692;4957;557;520;637;6671;9.15;610.3965;7.5;500.325;320;1430.7214999999999;5240.2785;44;1;6671;533.6800000000001;6671;5670.349999999999
Carlos Mendes;carlos.mendes@email.com;Feb-2022;Administrador;2521-25;46321877397;6113;325;146;175;6759;9.15;618.4485;7.5;506.92499999999995;326;1451.3735;5307.6265;44;6;6759;540.72;6759;5745.15
Carlos Mendes;carlos.mendes@email.com;Mar-2022;Administrador;2521-25;81912479240;4581;548;364;0;5493;9.15;502.60949999999997;7.5;411.97499999999997;142;1056.5845;4436.4155;44;9;5493;439.44;5493;4669.05
Carlos Mendes;carlos.mendes@email.com;Apr-2022;Administrador;2521-25;82671597912;4863;352;355;667;6237;9.15;570.6854999999999;7.5;467.775;436;1474.4605;4762.5395;44;18;6237;498.96000000000004;6237;5301.45
Carlos Mendes;carlos.mendes@email.com;May-2022;Administrador;2521-25;64388031988;3962;973;627;627;6189;9.15;566.2935;7.5;464.17499999999995;146;1176.4685;5012.5315;44;0;6189;495.12;6189;5260.65
